method,prompt_type,prompt_id,reuse_interval,round,staleness_rounds,draft_tokens,accepted_len,retrieval_update,selected_count,oracle_overlap,pipeline_hit,pipeline_reuse,pipeline_wait_ms
reuse_R2,pg19,1,2,47,1,32,1,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,48,0,32,2,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,49,1,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,50,0,32,2,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,51,1,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,52,0,32,1,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,53,1,32,1,0,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,54,0,32,0,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,55,1,32,1,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,56,0,32,0,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,57,1,32,0,0,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,58,0,32,3,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,59,1,32,1,0,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,60,0,32,4,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,61,1,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,62,0,32,3,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,63,1,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,64,0,32,2,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,65,1,32,0,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,66,0,32,1,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,67,1,32,1,0,16,0.6,0,0,0.0
reuse_R2,pg19,1,2,68,0,32,1,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,69,1,32,0,0,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,70,0,32,0,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,71,1,32,0,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,72,0,32,1,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,73,1,32,1,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,74,0,32,2,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,75,1,32,2,0,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,76,0,32,0,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,77,1,32,3,0,16,0.6,0,0,0.0
reuse_R2,pg19,1,2,78,0,32,2,1,16,0.5238095238095238,0,0,0.0
reuse_R2,pg19,1,2,79,1,32,1,0,16,0.6,0,0,0.0
reuse_R2,pg19,1,2,80,0,32,0,1,16,0.6,0,0,0.0
reuse_R2,pg19,1,2,81,1,32,1,0,16,0.5238095238095238,0,0,0.0
reuse_R2,pg19,1,2,82,0,32,1,1,16,0.6,0,0,0.0
reuse_R2,pg19,1,2,83,1,32,1,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,84,0,32,3,1,16,0.6,0,0,0.0
reuse_R2,pg19,1,2,85,1,32,2,0,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,86,0,32,0,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,87,1,32,0,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,88,0,32,1,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,89,1,32,1,0,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,90,0,32,0,1,16,0.6,0,0,0.0
reuse_R4,pg19,1,4,0,0,32,0,1,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,1,1,32,0,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,2,2,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,3,3,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,4,0,32,4,1,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,5,1,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,6,2,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,7,3,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,8,0,32,4,1,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,9,1,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,10,2,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,11,3,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,12,0,32,0,1,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,13,1,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,14,2,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,15,3,32,3,0,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,16,0,32,0,1,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,17,1,32,1,0,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,18,2,32,1,0,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,19,3,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,20,0,32,3,1,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,21,1,32,0,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,22,2,32,2,0,16,1.0,0,0,0.0
