network,method,method_family,prompt_type,prompt_id,detail_index,tokens,total_ms,overhead_ms,server_ms,http_ms,ul_ms,dl_ms,round_id,K,drafted,accepted,draft_time_ms,server_time_ms,rtt_ms,correction,verify_prefix_len,verify_draft_len,verify_input_len,slot_id,draft_ms,verify_ms,tree_branch_width,selected_offset,stale_branches,base_accepted,base_draft_ms,branch_draft_ms,streamed_branch_tokens,exposed_branch_ms,active_spec_branches,base_wait_ms,total_wait_ms,prefetched_tokens
good,sync_k8,sync_spec,gsm8k,2,9,,,,,,,,9.0,8.0,8.0,8.0,37.451744079589844,61.12337112426758,88.64356733329656,256.0,140.0,8.0,148.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,10,,,,,,,,10.0,8.0,8.0,8.0,37.872314453125,62.88933753967285,89.7210990000001,11.0,149.0,8.0,157.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,11,,,,,,,,11.0,8.0,8.0,8.0,37.392377853393555,69.85926628112793,97.30329933336269,15.0,158.0,8.0,166.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,12,,,,,,,,12.0,8.0,8.0,0.0,37.064552307128906,70.2369213104248,97.9672336666572,817.0,167.0,8.0,175.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,13,,,,,,,,13.0,8.0,8.0,8.0,35.247802734375,69.80299949645996,97.01210200000082,17832.0,168.0,8.0,176.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,14,,,,,,,,14.0,8.0,8.0,2.0,34.983158111572266,74.23996925354004,101.39930799994293,220.0,177.0,8.0,185.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,15,,,,,,,,15.0,8.0,8.0,5.0,34.432172775268555,73.6699104309082,101.04263566660107,284.0,180.0,8.0,188.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,16,,,,,,,,16.0,8.0,8.0,8.0,38.646697998046875,77.69417762756348,105.28298866664515,3070.0,186.0,8.0,194.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,17,,,,,,,,17.0,8.0,8.0,8.0,37.54019737243652,77.61836051940918,104.30283166658495,1817.0,195.0,8.0,203.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,18,,,,,,,,18.0,8.0,8.0,8.0,35.89582443237305,82.2596549987793,109.07386766667577,44486.0,204.0,8.0,212.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,19,,,,,,,,19.0,8.0,8.0,8.0,37.79125213623047,83.54735374450684,110.3627166666452,438.0,213.0,8.0,221.0,,,,,,,,,,,,,,,
good,tree_k8_b3,tree_async,gsm8k,2,0,,,,,,,,,,20.0,2.0,,,77.25292933325115,,93.0,8.0,101.0,0.0,108.29390200012767,49.135684967041016,3.0,0.0,2.0,2.0,37.96293099992454,70.33097100020314,12.0,0.0,2.0,76.43752900003165,76.43859099994188,0.0
good,tree_k8_b3,tree_async,gsm8k,2,1,,,,,,,,,,24.0,4.0,,,74.74055266671041,,96.0,8.0,104.0,100.0,113.2703760001732,46.96083068847656,3.0,0.0,2.0,4.0,40.095087000054264,73.17528900011894,16.0,0.0,2.0,74.36863800000992,74.37025100000483,0.0
good,tree_k8_b3,tree_async,gsm8k,2,2,,,,,,,,,,24.0,8.0,,,74.98836133338452,,101.0,8.0,109.0,201.0,99.47623999994448,47.081947326660156,3.0,8.0,2.0,8.0,34.873049999987416,64.60318999995707,16.0,0.0,2.0,74.73468800003502,74.7362609999982,7.0
good,tree_k8_b3,tree_async,gsm8k,2,3,,,,,,,,,,24.0,8.0,,,77.25519299996012,,110.0,8.0,118.0,301.0,67.91669199992612,50.58121681213379,3.0,8.0,2.0,8.0,8.03313899996283,59.883552999963285,16.0,0.0,2.0,77.0556759999863,77.05656799998906,7.0
good,tree_k8_b3,tree_async,gsm8k,2,4,,,,,,,,,,24.0,6.0,,,78.23160899997436,,119.0,8.0,127.0,400.0,71.93388600001072,51.624298095703125,3.0,0.0,2.0,6.0,7.416304999992462,64.51758100001825,16.0,0.0,2.0,78.07864899996275,78.07910999997603,0.0
good,tree_k8_b3,tree_async,gsm8k,2,5,,,,,,,,,,24.0,0.0,,,85.14119666669637,,126.0,8.0,134.0,500.0,111.68084599989925,57.70516395568848,3.0,0.0,2.0,0.0,33.62669699993148,78.05414899996777,16.0,0.0,2.0,84.6109639999213,84.61227699990559,0.0
good,tree_k8_b3,tree_async,gsm8k,2,6,,,,,,,,,,24.0,2.0,,,86.57221666656247,,127.0,8.0,135.0,600.0,97.46584399988478,59.564828872680664,3.0,0.0,2.0,2.0,33.448265999936666,64.01757799994812,16.0,0.0,2.0,86.25480900002458,86.25618199994278,0.0
good,tree_k8_b3,tree_async,gsm8k,2,7,,,,,,,,,,24.0,0.0,,,85.65896366675466,,130.0,8.0,138.0,700.0,114.7224390001611,58.29286575317383,3.0,0.0,2.0,0.0,33.671873999992386,81.05056500016872,16.0,0.0,2.0,85.33009500001754,85.33076600008371,0.0
good,tree_k8_b3,tree_async,gsm8k,2,8,,,,,,,,,,24.0,8.0,,,85.53140733326316,,131.0,8.0,139.0,800.0,101.40314599993872,58.76874923706055,3.0,0.0,2.0,8.0,33.34175499992398,68.06139100001474,16.0,0.0,2.0,84.86137300008068,84.86203400002523,0.0
good,tree_k8_b3,tree_async,gsm8k,2,9,,,,,,,,,,24.0,8.0,,,90.47420066665762,,140.0,8.0,148.0,901.0,105.09927900000093,63.40599060058594,3.0,8.0,2.0,8.0,33.411232000048585,71.68804699995235,16.0,0.0,2.0,90.0439679999181,90.0444989999869,7.0
good,tree_k8_b3,tree_async,gsm8k,2,10,,,,,,,,,,24.0,8.0,,,94.13550233336224,,149.0,8.0,157.0,1001.0,72.08734599998934,65.7191276550293,3.0,8.0,2.0,8.0,7.1754669999108955,64.91187900007844,16.0,0.0,2.0,93.87448499990114,93.87527699993825,7.0
good,tree_k8_b3,tree_async,gsm8k,2,11,,,,,,,,,,24.0,8.0,,,93.81012833341718,,158.0,8.0,166.0,1101.0,66.22669200010023,66.69330596923828,3.0,8.0,2.0,8.0,7.937395999988439,58.28929600011179,16.0,0.0,2.0,93.39806699995279,93.39918900002431,7.0
good,tree_k8_b3,tree_async,gsm8k,2,12,,,,,,,,,,24.0,0.0,,,95.57872466670051,,167.0,8.0,175.0,1200.0,72.044096999889,68.40229034423828,3.0,0.0,2.0,0.0,10.437944999921456,61.60615199996755,16.0,0.0,2.0,94.8195040000428,94.82004500000585,0.0
good,tree_k8_b3,tree_async,gsm8k,2,13,,,,,,,,,,24.0,8.0,,,96.2995429999794,,168.0,8.0,176.0,1301.0,99.09055899981922,69.03672218322754,3.0,8.0,2.0,8.0,34.17063599999892,64.9199229998203,16.0,0.0,2.0,95.89839700004177,95.89968900002077,7.0
good,tree_k8_b3,tree_async,gsm8k,2,14,,,,,,,,,,24.0,2.0,,,99.83866666666691,,177.0,8.0,185.0,1400.0,90.2627800001028,72.58439064025879,3.0,0.0,2.0,2.0,8.36885399996845,81.89392600013434,16.0,0.0,2.0,99.40137800003868,99.40212900005463,0.0
good,tree_k8_b3,tree_async,gsm8k,2,15,,,,,,,,,,24.0,5.0,,,102.11195233338188,,180.0,8.0,188.0,1500.0,96.86414899999818,74.57184791564941,3.0,0.0,2.0,5.0,36.34368099994845,60.52046800004973,16.0,0.0,2.0,101.75894100007099,101.75983300007374,0.0
