network,method,prompt_type,prompt_id,verify_input_len,verify_ms,rtt_ms
good,tree_k8_b3,gsm8k,4,85.0,,66.7100500000553
good,tree_k8_b3,gsm8k,4,94.0,,68.05394633324295
good,tree_k8_b3,gsm8k,4,97.0,,73.68827833332139
good,tree_k8_b3,gsm8k,4,106.0,,73.18396433335745
good,tree_k8_b3,gsm8k,4,115.0,,78.13304533338749
good,tree_k8_b3,gsm8k,4,124.0,,78.63463800001443
good,tree_k8_b3,gsm8k,4,127.0,,79.25446400002444
good,tree_k8_b3,gsm8k,4,136.0,,82.69076500006992
good,tree_k8_b3,gsm8k,4,145.0,,87.60387666661978
good,tree_k8_b3,gsm8k,4,154.0,,88.20677933337257
good,tree_k8_b3,gsm8k,4,163.0,,94.46594566666461
good,tree_k8_b3,gsm8k,4,172.0,,95.78699633338132
good,tree_k8_b3,gsm8k,4,174.0,,96.41261100000573
good,tree_k8_b3,gsm8k,4,183.0,,100.65501466662093
good,sync_k8,gsm8k,5,70.0,37.56380081176758,64.94937266666608
good,sync_k8,gsm8k,5,79.0,36.97943687438965,63.94090800010241
good,sync_k8,gsm8k,5,84.0,40.2069091796875,67.06997433340305
good,sync_k8,gsm8k,5,93.0,41.93735122680664,69.74113833337324
good,sync_k8,gsm8k,5,95.0,43.772220611572266,70.89979733335497
good,sync_k8,gsm8k,5,97.0,46.834707260131836,73.47883633339487
good,sync_k8,gsm8k,5,102.0,47.1804141998291,74.8699636666418
good,sync_k8,gsm8k,5,104.0,47.42622375488281,75.06639066666479
good,sync_k8,gsm8k,5,109.0,48.61783981323242,76.13683966669097
good,sync_k8,gsm8k,5,113.0,50.993919372558594,78.8159300000731
good,sync_k8,gsm8k,5,114.0,51.3768196105957,78.67809566668089
good,sync_k8,gsm8k,5,116.0,50.24552345275879,77.06982333331428
good,sync_k8,gsm8k,5,118.0,50.41050910949707,76.92525100006117
good,sync_k8,gsm8k,5,121.0,50.52757263183594,76.8392673333599
good,sync_k8,gsm8k,5,130.0,54.57663536071777,81.73568000009016
good,sync_k8,gsm8k,5,131.0,54.15034294128418,80.59363933330584
good,sync_k8,gsm8k,5,133.0,54.64673042297363,81.01614600010446
good,sync_k8,gsm8k,5,142.0,55.876970291137695,82.60760433329267
good,sync_k8,gsm8k,5,147.0,59.398651123046875,86.36497100000685
good,sync_k8,gsm8k,5,149.0,60.77766418457031,87.74510099995152
good,sync_k8,gsm8k,5,158.0,62.902212142944336,89.88203766669938
